"Name","playerid","WAR24","WAR25","WAR26","WAR27","WAR28","WAR29","WAR30","WAR31","WAR32","WAR33","WAR34","WAR35","WAR36","WAR37","Cluster"
"Mike Torrez","1013134","-0.4","2.2","1","2.4","2.4","3.3","2.3","3.3","3.3","2.6","1.2","1.2","0.7","0","A"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","0.6","0.7","0.9","0.7","-0.6","B"
"Andy Pettitte","    840","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","1.9","5.8","3.4","4","3.3","3.4","C"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","0","0.6","2.2","2.5","A"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","1.5","1.2","0.9","0.8","A"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","3.1","4.3","1.9","1.8","D"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","0.5","1.3","1.6","0.3","A"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","8.8","9.8","5.2","6.4","4.5","F"
"John Candelaria","1001909","2.7","2.2","4","0.4","3.7","4.5","3.3","1.8","3","2.4","3.4","0.3","0.7","0.7","A"
"Livan Hernandez","   1116","2.9","4.5","2.3","2.7","4.4","4.4","2.4","2","0.2","1","1.8","2.5","1.5","-0.9","A"
"Kevin Millwood","    106","5.5","4","0.9","4.6","4.7","2.9","3.4","4.3","2.1","3.2","2.1","1.1","0.7","2.6","C"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","2.2","4.9","5.1","3.4","1","E"
"Luis Tiant","1013054","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","5","6.5","4.2","3.7","2.6","2.4","H"
"Lee Smith","1012175","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","2","1.2","0.1","0.8","1","A"
"Rich Gossage","1004894","2","4.2","2.4","1","3.2","1.4","3.6","3.5","1.5","2.6","0.7","1","0.2","0","A"
"Tom Glavine","     90","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","4.8","4.2","4.7","1.7","2.9","1.3","C"
"Dennis Martinez","1008161","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","2.8","2.2","3.1","4.6","4.2","3.8","D"
"Jimmy Key","1006885","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","4","0.6","2.7","2.8","1.7","C"
"Greg Swindell","     76","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","1.4","0","0.6","1.2","-0.1","-0.3","B"
"Greg Maddux","    104","5.1","5.8","7","7.5","7.4","7.9","7.8","8","7.5","5.6","7.2","6.3","3.9","3.6","G"
"Steve Trachsel","    898","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","1.5","0.1","0.5","0.4","-0.8","A"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","0.2","0.9","2","0.6","0.2","0.4","B"
"Bob Welch","1013750","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","3","1.8","0.6","0.6","0.1","-0.1","A"
"Mark Langston","1007323","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","1.6","4.1","1.7","0","0.1","C"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","-1.1","1.7","0.4","-0.2","-0.2","-0.3","B"
"Mike Mussina","    837","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","6.9","4.5","6.1","3","2.6","5.2","E"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","2.6","3.1","1.1","2.2","A"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","3.1","1.8","0.4","0.6","0.9","0","A"
"Steve Carlton","1001964","4.9","3.6","3.1","11.1","4.5","5.3","3.5","5.1","5.1","2.8","4.3","8.8","5.3","8.2","E"
"Jim Kaat","1006660","1.9","4.7","4.3","6.4","6.4","3.9","3.5","3.2","5.9","2.6","2.7","5.2","5.1","2.9","E"
"Fergie Jenkins","1006388","4.5","6.3","8.2","9.5","9.6","4.8","4.2","7.8","2.7","3.7","2.3","5.3","2","2.7","G"
"Don Sutton","1012745","3.9","1.9","7.1","6.8","6","4.7","5.4","3.3","3.8","2.7","3.7","3","3.9","4.6","E"
"Jose Mesa","    961","0.5","0.8","0.9","2.9","1.7","2.1","1.4","1","0.4","-0.9","0.4","1.6","0.6","-0.1","B"
"Jerry Reuss","1010853","4","2.5","4.6","2.9","3.9","1","2.9","4.6","2.5","5.5","4.8","1.2","2.6","-0.4","C"
"Roger Clemens","    815","8.4","9.2","5.1","8.2","8.5","7.6","3.7","4.2","2.4","6.8","10.7","8.2","3.2","3.6","I"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","2.3","5.5","6.7","0.3","2.3","1.9","D"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","0.7","1.4","2.3","0.4","2.9","1.2","A"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","1.6","0.6","0.2","0.1","0.7","0.8","B"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","6.5","9.6","7.3","6.8","3","0.5","F"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","0.3","1","1.7","0.6","1.3","0.6","B"
"Frank Tanana","1012818","2.8","1.3","3.5","1.2","2.6","2.6","2.1","3.6","2.3","4.1","2.1","3.1","0.8","1.9","A"
"Chuck Finley","    384","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","5","2.9","4.4","4.4","4.4","H"
"Tim Hudson","    921","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","0.6","1.7","2.8","1.6","1.6","C"
"Tug McGraw","1008545","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","1.1","1.2","0.3","2.5","0.6","0.3","B"
"Nolan Ryan","1011348","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","5.1","4.5","3.8","3.5","3.4","4","E"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","2.3","1.8","1","2.1","A"
"Jack Morris","1009211","3.6","3.7","2.7","2.2","6.2","4","4.7","4","4.1","4","1.4","2.9","4.1","3.7","C"
"Rudy May","1008310","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","1.1","1.4","4.1","2.4","3.4","A"
"Aaron Sele","     34","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","-0.1","0.6","0.1","1.2","0","A"
